consumer, M, length, time
1000, 10000, 3000, 1428
1000, 10000, 8000, 824
1000, 10000, 3000, 33063492
1000, 10000, 5000, 276
1000, 10000, 6000, 141949414
1000, 10000, 7000, 181
1000, 10000, 1000, 257
1000, 10000, 10000, 305
1000, 10000, 9000, 192
1000, 10000, 5000, 264
1000, 10000, 4000, 174
1000, 10000, 8000, 167458401
1000, 10000, 9000, 186993802
1000, 10000, 7000, 270
1000, 10000, 2000, 280
1000, 10000, 2000, 273
1000, 10000, 10000, 281
1000, 10000, 2000, 362
1000, 10000, 8000, 290
1000, 10000, 1000, 361
1000, 10000, 8000, 317342041
1000, 10000, 4000, 439
1000, 10000, 5000, 388
1000, 10000, 5000, 198
1000, 10000, 8000, 369
1000, 10000, 9000, 267
1000, 10000, 3000, 229
1000, 10000, 10000, 925
1000, 10000, 8000, 258
1000, 10000, 2000, 713401954
1000, 10000, 9000, 283
1000, 10000, 5000, 325
1000, 10000, 4000, 279
1000, 10000, 3000, 772264946
1000, 10000, 7000, 248
1000, 10000, 4000, 1010
1000, 10000, 1000, 304
1000, 10000, 5000, 809204997
1000, 10000, 1000, 816910173
1000, 10000, 6000, 621947642
1000, 10000, 10000, 18600
1000, 10000, 5000, 160
1000, 10000, 1000, 274
1000, 10000, 4000, 260
1000, 10000, 5000, 209
1000, 10000, 3000, 260
1000, 10000, 7000, 209
1000, 10000, 6000, 201
1000, 10000, 3000, 328
1000, 10000, 3000, 312
1000, 10000, 7000, 290
1000, 10000, 1000, 293
1000, 10000, 9000, 239
1000, 10000, 1000, 304
1000, 10000, 4000, 280
1000, 10000, 1000, 940141797
1000, 10000, 7000, 942019577
1000, 10000, 10000, 864
1000, 10000, 8000, 971950129
1000, 10000, 1000, 1043553818
1000, 10000, 5000, 850
1000, 10000, 4000, 823155135
1000, 10000, 1000, 278
1000, 10000, 1000, 1099796552
1000, 10000, 5000, 240
1000, 10000, 7000, 1121805044
1000, 10000, 6000, 598
1000, 10000, 1000, 955
1000, 10000, 6000, 1226937374
1000, 10000, 6000, 311
1000, 10000, 10000, 1008837387
1000, 10000, 2000, 297
1000, 10000, 6000, 1384892964
1000, 10000, 3000, 471
1000, 10000, 5000, 286
1000, 10000, 3000, 1018
1000, 10000, 3000, 238
1000, 10000, 6000, 305
1000, 10000, 10000, 1187
1000, 10000, 4000, 307
1000, 10000, 2000, 286
1000, 10000, 8000, 1475675408
1000, 10000, 8000, 1486124274
1000, 10000, 7000, 1489421526
1000, 10000, 4000, 230
1000, 10000, 5000, 1502375680
1000, 10000, 4000, 285
1000, 10000, 5000, 245
1000, 10000, 7000, 1514485226
1000, 10000, 9000, 268
1000, 10000, 6000, 342
1000, 10000, 2000, 309
1000, 10000, 4000, 276
1000, 10000, 10000, 387
1000, 10000, 1000, 1080
1000, 10000, 2000, 590
1000, 10000, 7000, 235
1000, 10000, 3000, 1163
1000, 10000, 2000, 1611976183
1000, 10000, 6000, 223
1000, 10000, 8000, 1110
1000, 10000, 1000, 328
1000, 10000, 10000, 267
1000, 10000, 4000, 200
1000, 10000, 5000, 1280
1000, 10000, 7000, 238
1000, 10000, 7000, 311
1000, 10000, 4000, 343
1000, 10000, 10000, 297
1000, 10000, 1000, 304
1000, 10000, 4000, 290
1000, 10000, 1000, 387
1000, 10000, 10000, 307
1000, 10000, 2000, 324
1000, 10000, 5000, 1773929925
1000, 10000, 2000, 302
1000, 10000, 9000, 1779215426
1000, 10000, 1000, 1794979895
1000, 10000, 2000, 1795242697
1000, 10000, 7000, 1796913896
1000, 10000, 2000, 1825442762
1000, 10000, 8000, 1124536648
1000, 10000, 8000, 1413
1000, 10000, 3000, 1877449807
1000, 10000, 6000, 1880024868
1000, 10000, 4000, 1892618113
1000, 10000, 3000, 1895780317
1000, 10000, 9000, 1900707251
1000, 10000, 9000, 1914678007
1000, 10000, 2000, 1927564320
1000, 10000, 8000, 1928667079
1000, 10000, 3000, 1939602564
1000, 10000, 9000, 1940893147
1000, 10000, 10000, 1959912886
1000, 10000, 2000, 1973788025
1000, 10000, 3000, 1974642652
1000, 10000, 4000, 1976217266
1000, 10000, 4000, 1979402904
1000, 10000, 6000, 1982435857
1000, 10000, 1000, 1987334576
1000, 10000, 9000, 1987735977
1000, 10000, 5000, 2001648654
1000, 10000, 1000, 2007128323
1000, 10000, 6000, 2007447792
1000, 10000, 5000, 2024979525
1000, 10000, 5000, 2035557723
1000, 10000, 1000, 2040915410
1000, 10000, 2000, 1017727264
1000, 10000, 9000, 2807
1000, 10000, 9000, 2074135436
1000, 10000, 7000, 2102384722
1000, 10000, 8000, 1051197123
1000, 10000, 6000, 2146099389
1000, 10000, 2000, 212
1000, 10000, 8000, 1053801219
1000, 10000, 5000, 122
1000, 10000, 2000, 2153550202
1000, 10000, 10000, 1064268901
1000, 10000, 5000, 240
1000, 10000, 4000, 2177780888
1000, 10000, 7000, 2180124281
1000, 10000, 6000, 2193001075
1000, 10000, 9000, 2200253495
1000, 10000, 5000, 2219613138
1000, 10000, 7000, 854126684
1000, 10000, 1000, 171
1000, 10000, 5000, 2241122608
1000, 10000, 2000, 2251240900
1000, 10000, 9000, 2263308576
1000, 10000, 6000, 2274708720
1000, 10000, 5000, 2289502687
1000, 10000, 1000, 2299298075
1000, 10000, 9000, 2299871597
1000, 10000, 3000, 2322511273
1000, 10000, 8000, 2324012859
1000, 10000, 3000, 2339466049
1000, 10000, 8000, 2341767305
1000, 10000, 10000, 868008610
1000, 10000, 6000, 2367193649
1000, 10000, 5000, 2374115520
1000, 10000, 8000, 2377743012
1000, 10000, 1000, 2388280941
1000, 10000, 8000, 2388982716
1000, 10000, 8000, 2397556158
1000, 10000, 1000, 2420302738
1000, 10000, 8000, 2423063833
1000, 10000, 1000, 2441056436
1000, 10000, 1000, 2443307220
1000, 10000, 6000, 2444278447
1000, 10000, 9000, 2454638286
1000, 10000, 1000, 2483368835
1000, 10000, 3000, 2484341915
1000, 10000, 9000, 2488576326
1000, 10000, 10000, 2507419188
1000, 10000, 5000, 2527636313
1000, 10000, 4000, 2531466157
1000, 10000, 9000, 2533679908
1000, 10000, 2000, 2548004255
1000, 10000, 6000, 2548846559
1000, 10000, 8000, 2553359428
1000, 10000, 8000, 2561374479
1000, 10000, 3000, 2569744266
1000, 10000, 6000, 2572014843
1000, 10000, 3000, 2587142082
1000, 10000, 9000, 2588393796
1000, 10000, 2000, 2603287844
1000, 10000, 3000, 2603626469
1000, 10000, 6000, 2604854127
1000, 10000, 5000, 2609246826
1000, 10000, 7000, 2612563374
1000, 10000, 6000, 2618862216
1000, 10000, 2000, 2624709833
1000, 10000, 8000, 2625727483
1000, 10000, 7000, 1947400857
1000, 10000, 1000, 2663539638
1000, 10000, 3000, 2663990832
1000, 10000, 4000, 2670716040
1000, 10000, 2000, 121
1000, 10000, 4000, 2672344956
1000, 10000, 10000, 2678191454
1000, 10000, 9000, 2711926195
1000, 10000, 3000, 496
1000, 10000, 8000, 2735938108
1000, 10000, 2000, 147
1000, 10000, 2000, 2748172573
1000, 10000, 4000, 2748736346
1000, 10000, 7000, 2751314507
1000, 10000, 7000, 2763554598
1000, 10000, 9000, 2769225108
1000, 10000, 7000, 2780088098
1000, 10000, 9000, 2786920866
1000, 10000, 2000, 2801265376
1000, 10000, 9000, 2801689072
1000, 10000, 4000, 2818563224
1000, 10000, 3000, 2820629271
1000, 10000, 9000, 2827860479
1000, 10000, 4000, 103
1000, 10000, 4000, 2850277203
1000, 10000, 10000, 2856621410
1000, 10000, 9000, 2903030564
1000, 10000, 6000, 2914750686
1000, 10000, 1000, 2919765684
1000, 10000, 7000, 2919960244
1000, 10000, 2000, 2929081612
1000, 10000, 8000, 1909363222
1000, 10000, 10000, 2722356358
1000, 10000, 2000, 119
1000, 10000, 2000, 2959410986
